Titre;Temps Total;Temps Préparation;Temps Cuisson;Nombre de personnes;Difficulté;Coût;Ingrédients;Étapes;Ustensiles;Liens_recette
Chaï - thé indien (Inde du Sud);10 min;10 min;-;2;facile;moyen;"['7 cuillères à soupe de sucre', '12 gousses de cardamome verte ouvertes (+ si vous aimez le goût de cette épice)', '1 cuillère à café de gingembre frais râpé', '6 clous de girofle', ""1300 ml d' eau"", '650 ml de lait', '4 cuillères à soupe de thé noir (Earl Grey par exemple) en feuilles', '2 bâtons de cannelle fendus', ""4 grains d' anis étoilé""]";"[""Faites d'abord chauffez l'eau avec le sucre, le thé et les épices. Au premier bouillons, laissez cuire 3-4 mn."", 'Ajoutez le lait froid et portez de nouveau à ébullition. Goûtez et ajoutez des épices ou du sucre si nécessaire, ou diluez avec plus de lait.', 'Au premier bouillon avec le lait, retirez du feu et filtrez avec une passoire, versez en faisant mousser dans la tasse. Boire chaud.']";['1 casserole', '1 Top 5 des meilleures passoires', '1 balance de cuisine'];https://www.marmiton.org/recettes/recette_chai-the-indien-inde-du-sud_21963.aspx
Detox water au citron;2 min;2 min;-;1;facile;bon marché;['1 citron jaune', 'feuille de menthe', 'eau'];"['Laver votre citron, le couper en rondelles, enlever les pépins éventuels.', ""Prendre un Mason Jar, ce bocal à la mode venu tout droit des states et qui est l’élément indispensable cet été ! (Un grand verre ou bocal fera l'affaire)"", ""Remplir votre Mason Jar d'eau filtrée, y plonger vos rondelles de citron et y ajouter les feuilles de menthes préalablement lavées."", 'Placer la préparation au frais au minimum 30 min pour que votre eau soit aromatisée.', ""L'idéal est une nuit au réfrigérateur."", ""N'ajoutez rien votre boisson est prête ! Y planter une paille et le tour est joué."", ""De l'eau des fruits rien de plus et votre eau détoxifiante est prête à être dégustée."", 'Bonne détox !']";['1 couteau', '1 Frigo'];https://www.marmiton.org/recettes/recette_detox-water-au-citron_338704.aspx
Café turc;5 min;-;5 min;1;très facile;bon marché;"['sucre 1,5 très sucré, 1 normalement sucré, 1/2 peu sucré', ""1 petite tasse d' eau froide"", '1 cuillère de café de café finement moulu (spécial café turc)']";"[""Dans une petite casserole, verser l'eau, puis ajouter le sucre et la poudre de café."", 'Mettre sur flamme moyenne, et ne pas remuer! Une mousse va petit à petit apparaître sur le dessus.', ""Le café est prêt dés qu'il commence à entrer en ébulition."", 'Eteindre tout de suite, sans le laisser bouillir, et verser dans les tasses en répartissant la mousse dans chacunes.', 'Attendre que le marc de café se dépose au fond de la tasse, pour commencer à le boire.']";['1 casserole', '1 Cuillère en bois', '1 balance de cuisine'];https://www.marmiton.org/recettes/recette_cafe-turc_48768.aspx
Kombucha maison au citron et au gingembre;;-;-;1;moyenne;moyen;"['1 morceau de gingembre râpé', '100 g de sucre de canne à adapter selon les goûts', '2 cuillères à soupe de vinaigre de cidre', '3 sachets de thé noir', ""1 l d' eau"", '½ citron bio', 'kombucha 1 souche']";['Commencer par réaliser un sirop en chauffant l’eau et le sucre dans une casserole.', 'Retirer la casserole du feu et laisser infuser les sachets de thé pendant quelques minutes. Laisser ensuite infuser le gingembre et le citron coupé en rondelles.', 'Laisser refroidir la boisson, puis la filtrer pour enlever les résidus et les morceaux de citron.', 'Verser le vinaigre de cidre.', 'Mettre la boisson dans un grand bocal.', 'Plonger la souche à kombucha dans la préparation. Se munir de gants pour cette étape.', 'Couvrir le récipient d’un torchon ou d’un gaze et maintenir avec un élastique.', 'Laisser fermenter dans un endroit sec, et à l’abri de la lumière. Surveiller régulièrement. Un voile doit commencer à apparaître au bout de 2/3 jours.', 'Au bout d’une dizaine de jours, récupérer le kombucha. Retirer la souche à l’aide de gants et filtrer la boisson avant de la mettre dans une bouteille ou de la déguster.'];['1 casserole', '1 balance de cuisine'];https://www.marmiton.org/recettes/recette_kombucha-maison-au-citron-et-gingembre_392656.aspx
Smoothie aux fruits rouges;5 min;5 min;-;2;très facile;bon marché;['1 yaourt a la vanille ou nature', '200 g de fruits rouges (congelés de préférence)', '20 cl de fruits', '1 glace vanille (facultatif)'];['Dans un premier temps, verser un verre de jus de fruits dans un blender, puis ajouter le yaourt et la glace puis mixer.', 'Enfin, ajouter les fruits rouges selon votre goût et re-mixer.', 'Smoothie frais et délicieux assuré !'];['1 blender', '1 Mixeur'];https://www.marmiton.org/recettes/recette_smoothie-aux-fruits-rouges_336343.aspx
Vin de rhubarbe traditionnel;3 h;3 h;-;4;très facile;bon marché;"['6 kg de sucre semoule', '6 kg de rhubarbe', ""2 l d' eau de source""]";"['Cueillir la rhubarbe fraîche.', 'Couper à 1 cm des feuilles (que vous jetez) et à 5 cm du pied.', 'Si vous désirez un vin incolore, épluchez les tiges. Si vous désirez un vin vert, coupez la partie rouge de la rhubarbe.', 'Coupez les tiges en petits dés de 1 à 2 cm, comme pour une tarte.', 'Pesez (partons sur une base de 6 kg de fruits ainsi travaillés).', 'Mettez en tonneau.', ""Afin de faire rendre le jus à la rhubarbe, ajoutez la moitié du poids en sucre semoule (ici, 3 kg, mais cela peut être plus ou mois selon que vous désirez un vin plus ou moins sucré selon vos goûts, l'expérience vous le dira)."", 'Couvrez (sans fermer) le tonneau pendant 3 à 4 jours en remuant 3 fois par jour.', 'Récupérez le jus à travers une passoire. (ici, nous obtenons environ 4 Litres de jus)', 'Si vous désirez obtenir un vin trouble avec pulpe, vous pouvez mouliner les fruits.', 'Mettez le jus obtenu en bonbonne et complétez avec 1/3 de poids de fruit initial en eau de source (ici, 2 Litres)', 'Ajoutez 1/3 de poids initial de sucre semoule (ici, 2 kg).', 'Evidemment, ces quantités varient en fonction de vos goûts!', 'Couvrez légérement, mais ne surtout PAS FERMER la bonbonne.', 'Laissez fermenter (3 mois environ) en agitant tous les soirs et en écumant.', 'Mettez en bouteille en siphonnant le vin par le haut.', ""Si vous désirez un vin pétillant, mettez en bouteille LEGEREMENT AVANT la fin de la fermentation afin que celle-ci se termine dans la bouteille. (vous pouvez mettre l'équivalent d'un demi petit-pois, et surtout pas plus, de sucre candy en fond de la bouteille afin de favoriser la formation des bulles)."", ""ATTENTION, prenez du verre épais, comme une bouteille de champagne, sinon vous risquez de voir celles-ci exploser dans votre cave et tout le bon vin s'écouler par-terre !"", 'Régalez-vous bien.']";['1 Entonnoir', '1 Couteau', '1 Top 5 des meilleures passoires', '1 balance de cuisine'];https://www.marmiton.org/recettes/recette_vin-de-rhubarbe-traditionnel_17143.aspx
Milk-shake au chocolat;5 min;5 min;-;1;très facile;bon marché;['6 carrés de chocolat noir ou au lait', '1 pincée de sucre', '1 boule de glace au chocolat', '250 lait', 'crème chantilly'];"[""Mélange les carrés de chocolat avec la boule de chocolat et le lait au mixer pendant 1 min maximum, avec l'aide d'un adulte."", 'Ajoute le mélange dans un verre, mets une pincée de sucre et mélange avec une cuillère, puis mets de la crème chantilly au dessus en forme de pyramide.']";['1 mixer', '1 balance de cuisine'];https://www.marmiton.org/recettes/recette_milkshake-au-chocolat_530523.aspx
Kéfir à l'eau;1 j;1 j;-;1;très facile;bon marché;"[""80 g de sucre par litre d'eau"", '2 figues sèches', ""80 g de kéfir par litre d'eau"", '1 rondelle de citron']";"['Mettre dans le récipient tous les ingrédients.', 'Il est préférable de faire fondre le sucre avant.', ""Remplir d'eau avec la quantité que vous désirez obtenir."", 'Quand les figues remontent en surface, la boisson est prête.', ""1 fois par jour en hiver et plus souvent en été (je le fais qu'une fois par jour, été ou hiver) Jetez les figues et le citron."", 'Filtrez le reste dans une passoire métallique.', 'Conservez-le dans une bouteille à capsule hermétique genre bouteille de bière que vous placerez au réfrigérateur.', 'Commencer à le consommer le lendemain.', ""Faire uniquement la quantité que l'on consomme par jour.""]";['1 casserole', '1 Top 5 des meilleures passoires', '1 balance de cuisine', '1 Frigo'];https://www.marmiton.org/recettes/recette_kefir-a-l-eau_27837.aspx
Thé glacé infusion à froid;1 h;1 h;-;3;facile;bon marché;['2 cuillères à soupe de thé par litre d’eau froide)', '2 cuillères à soupe de thé par litre d’eau froide)', '1 cuillère à soupe de thé par litre d’eau froide)'];"['Laisser infuser :', '- 1h30 à 2h pour les thés noirs nature', '- 1h pour les thés noirs parfumés', '- 30 min pour les thés verts', 'On fait infuser le thé dans de l’eau à température ambiante, en remuant de temps en temps, avant de retirer le sachet ou les feuilles et de placer la boisson au réfrigérateur pendant environ 6 h.', ""L'idéal est de le préparer la veille et de le laisser reposer toute une nuit au frais.""]";['1 sorbetière', '1 Frigo'];https://www.marmiton.org/recettes/recette_the-glace-infusion-a-froid_305461.aspx
Tchaï / Chaï (thé indien);22 min;10 min;12 min;4;très facile;bon marché;"['1 cuillère à soupe de gingembre frais râpé', '10 cardamome', '1 dl de sucre', '1 cuillère à café de cannelle', ""1 l d' eau"", '4 dl de lait', '½ dl de thé noir']";"['Eplucher et râper le gingembre dans une casserole. Ajouter cardamome, clous de girofle et cannelle.', ""Verser l'eau et laisser cuire environ 10 mn."", 'Ajouter le lait et le sucre; laisser frémir 2 min.', 'Y mélanger le thé. Enlever la casserole du feu, laisser infuser environ 5 mn.', 'Filter les feuilles de thé et les épices. Servir directement.']";['1 casserole', '1 Râpe', '1 économe', '1 Cuillère en bois', '1 balance de cuisine'];https://www.marmiton.org/recettes/recette_tchai-chai-the-indien_16612.aspx
Liqueur de café;15 min;15 min;-;1;facile;bon marché;"['1 l de rhum vieux', '380 g de sucre de canne (64 morceaux)', '150 g de café', ""¼ l d' eau""]";['Ecraser grossièrement les grains de café. Les mettre dans un récipient avec le rhum et laisser macérer pendant plus de 10 jours.', 'Préparer le sirop. Chauffer l’eau et le sucre.', 'Laisser refroidir. Verser sur le café en macération.', 'Après quelques jours, filtrer et verser dans une carafe.'];['1 Entonnoir', '1 balance de cuisine'];https://www.marmiton.org/recettes/recette_liqueur-de-cafe_15532.aspx
Liqueur de verveine;10 min;10 min;-;1;facile;bon marché;"['40 morceaux de sucre', ""50 cl d' alcool à 90° (prendre de l'alcool adapté dont vous aurez validé l'innocuité!)"", ""50 cl d' eau"", ""40 feuilles de verveine fraîche (1ère coupe de l'année avant qu'elle fleurisse, aux environs de juin)""]";"[""Mettre les feuilles dans un bocal avec l'alcool et laisser tremper 48h."", ""Faire fondre le sucre dans les 50 cl d'eau que l'on a fait chauffer auparavant et laisser bien refroidir le sirop."", ""Passer ensuite la verveine et mélanger l'alcool où trempait la verveine et le sirop obtenu."", 'Laisser de côté une quinzaine de jours, puis filtrer une à deux fois.']";['1 Entonnoir', '1 casserole', '1 Cuillère en bois', '1 balance de cuisine'];https://www.marmiton.org/recettes/recette_liqueur-de-verveine_16182.aspx
Limoncello (Italie);20 min;10 min;10 min;2;facile;moyen;"['500 g de sucre', '5 citrons à écorce épaisse', ""1 l d' alcool à 90° 90-95°"", ""1½ l d' eau""]";"[""Découper des bandeaux d'écorce de citron (sans le blanc de la peau!). Placer dans un récipient hermétique l'alcool et les écorces à macérer pendant 5 jours."", ""Passé ce délai, cuire l'eau avec le sucre, faire refroidir complètement et mélanger avec l'alcool préalablement filtré."", ""Mettre dans des bouteilles et attention, car l'abus d'alcool est dangereux !""]";['1 couteau', '1 Cuillère en bois', '1 planche à découper', '1 balance de cuisine'];https://www.marmiton.org/recettes/recette_limoncello-italie_15277.aspx
Liqueur de fruits;50 min;50 min;-;10;très facile;assez cher;"[""3 zestes d' orange"", '3 zestes de citron', '500 g de mûres', '500 g de framboises (ou poires, ananas, cassis, mangues, abricot, feuilles de verveine fraîche, menthe, etc...)', ""50 cl d' alcool pour fruits"", '50 cl de sirop de sucre de canne']";"[""Mettre dans un grand bocal en verre, le demi litre d'alcool pour fruits."", 'Ajouter 500 g de fruits de votre choix, ou 3 zestes de citron jaune, vert, ou orange.', 'Laisser macérer 3 jours dans le noir.', 'Filtrer, et ajouter le demi litre de sirop de sucre.', 'Laisser reposer quelques jours, avant de déguster !']";['1 Entonnoir', '1 balance de cuisine'];https://www.marmiton.org/recettes/recette_liqueur-de-fruits_43060.aspx
Liqueur d'orange maison;20 min;20 min;-;25;très facile;bon marché;"['1 orange non traitée', '300 g de sucre en poudre', ""50 cl d' alcool à 90°"", ""70 cl d' eau""]";"[""Trouver un bocal hermétique et suspendre l'orange par un fil à quelques centimètres de l'alcool. L'orange ne doit pas toucher l'alcool et les parois du bocal. Refermer le bocal et laisser reposer pendant 21 jours."", ""Dissoudre le sucre dans l'eau en chauffant dans une casserole. Mélanger l'eau sucrée à l'alcool (vous pouvez jeter l'orange ou la manger si vous êtes motivé !!!)."", 'Filtrer la préparation puis mettre en bouteille.']";['1 Entonnoir', '1 casserole', '1 Cuillère en bois', '1 balance de cuisine'];https://www.marmiton.org/recettes/recette_cointreau-maison_34899.aspx
Thé pakistanais;10 min;5 min;5 min;2;facile;bon marché;['2 cuillères à soupe de sucre', '3 cardamome', '2 clous de girofle', '1 cuillère à café de vanille en poudre', '½ bâton de cannelle', '1 cuillère à soupe de thé noir', 'eau', 'lait'];"[""Verser l'equivalent d'un grand verre d'eau dans une casserole."", 'Ajouter le sucre, la cardamome, la cannelle, la vanille et les clous de girofle et faire bouillir.', 'Aux premières ébullitions, ajouter le thé, puis un grand verre de lait.', 'Laisser chauffer quelques instants.', ""C'est prêt !"", 'Pour servir, faire mousser dans les verres !']";['1 casserole', '1 balance de cuisine'];https://www.marmiton.org/recettes/recette_the-pakistanais_58356.aspx
Pacharan (liqueur de prunelle de Navarre);5 min;5 min;-;1;très facile;moyen;"[""1 l d' anis del Mono dulce (anisette espagnole) ou à défaut de la Marie Brizard nature à 25°"", ""1 kg de prunelle sauvages (se trouvent facilement l'été au bord des routes)"", '½ bâton de cannelle', 'grain de café']";"[""Dans une bouteille d'un litre, verser les prunelles et les recouvrir de l'anis."", ""Y ajouter 1/2 bâton de cannelle, un verre d'eau et trois grains de café."", 'Bien fermer hermétiquement (le succès final en dépend).', ""Conserver 6 mois au fond d'un placard, en pensant à remuer très fort une fois par semaine."", ""Au fur et à mesure, les prunelles ramolliront et l'anis deviendra rouge-violet."", 'Au bout des six mois, égoutter le tout dans une bouteille. Les prunelles macérées peuvent servir dans un gâteau :=)', ""Se déguste à l'apéro ou en digestif obligatoirement accompagné de glace.""]";['1 Entonnoir', '1 Couvercle', '1 Cuillère en bois'];https://www.marmiton.org/recettes/recette_pacharan-liqueur-de-prunelle-de-navarre_42571.aspx
Espresso Martini;10 min;10 min;-;1;facile;bon marché;['1 Expresso', '3 cl de vodka', '1½ cl de liqueur de café (kahlua, marie brizard)', '1 trait de sirop de sucre de canne', 'café en grains pour la décoration'];['Versez les ingrédients dans un shaker.', 'Ajoutez des glaçons (une dizaine environ) et shaker énergiquement pendant 15 secondes pour faire mousser le café.', 'Retirez les glaçons puis filtrez la mixture à l’aide d’une passoire à cocktail avant de la verser dans un verre.', 'Déposez sur la mousse quelques grains de café pour la décoration.'];['1 Top 5 des meilleures passoires', '1 shaker'];https://www.marmiton.org/recettes/recette_espresso-martini_534155.aspx
